Name,Comment
@PriyankaChoudhary00,Gourav sir ne shi kha real me bhut realistic voice h 👍👍
@priyanshusoni5431,Dr. Gaurav Garg Ne Bheja Hai Mujhe 😂😂❤❤
@proflead,Wow!
@pshivaram,At 2:06 it seemed to mispronounce ""deduction"" as ""deduc-SUN"" as if it had a speech impediment. It is surprising and could be an over-correction to make it sound more human?
@ritika_nagar,Gg sir🌝
@Ryansanvy,RIP all tutors 
@Ryansanvy,Love to see Sal 😍
@sachinkumar-yh9sg,One Like Gaurav Sir  who taught us about it.
@Sami_G.M.R,How i can do that ?
@Shadab---Alam,These technologies are making human impotent.
@shravankumarupadhyay5445,That' good and all but what about Claculus and college level mathematics?
@siderealvictor9813,Chatgpt won't be able to touch jee advanced questions😂😂
@SlicedMango17,Kids are gonna be dumb af in the future
@smritasingh1213,I have come here on the advice of Gaurav Sir.
@sssingh965,Gaurav sir k video dekhne k baad kaun kaun dekha like kre??😊
@t4lb,"burn this, thats so weird and terrible"
@Taylancen,How does it monitor your pen movement? Is it different module or with gpt?
@TheCreativeLlama17,I feel like they've just given us a preview of Apple's collaboration with Open AI here...
@TheOGDominic,We all know this kid knew where the hypotenuse was
@TheShubham.Sharma,Who came here after Dr Gaurav Girg sir current affairs video of 16th May 2024.
@Tirelesssoulmanish,Gaurav Garg Sir ke kahne pe aaya 😊👏
@TooMuchButtHair,"Fuck, not only are public schools a thing of the past, so is Khan Academy. What a wild ride this is sure to be."
@travelmate101,Insane
@TusharKumar-jb6vp,Nah at this speed ..syllabus will not be completed.
@ukmlaid,yeaaaaaaaaaah khans son does know about hypotenuse…..good joke
@user-ug6qi2wj6p,You lied to us You said this version will be free Why did you set a specific time for him
@vaibhavsharma4311,"no matter how advance AI will never match human level of intelligence 
backstory: i lost my job to AI"
@Wajidahmadwani,I think i like the first time ai  before  Gtp 4o i was little bit not good at math now i am  impressed really 😮😮😮
@Wild-Instinct,"We won’t have this in Europe because of AI Act..
Hopefully this will be solved in the next months"
@winsonlcc1562,Awesome!  This feature need to upgrade to Plus? It is real time interaction on a split screen with drawing capabilities. It this require specific software or application support beyond the typical capabilities of ChatGPT?  May I know the software on this video they used?  Thank you.
@xot9897,Straight from black mirror wtf
@zabir31416,"Damn, the way ChatGPT is talking is totally human, even I heard her taking a deep breath while conversating, this is damn awsome!!!!!!"
@zishanahmed1461,give some calculus then lets see..
